Data;EALT4;GETI3;GETI4;BRGE3;BRGE6;BRGE8;BRGE11;BRGE12;CRIV3;CRIV4;RPAD3;RPAD5;RPAD6;BRIV3;"BRIV4";BAZA3";ABEV3;BDLL4;BMKS3;CIQU3;CIQU4;CBMA4;PNVL3;PNVL4;IMBI4;EMBR3;EBTP3;EBTP4;ENMT3;ENMT4;ESTR4;BAUH4;GUAR3;GUAR4;IGBR3;ITSA3;ITSA4;MLFT4;LIXC3;LIXC4;POMO3;POMO4;BMIN4;PTBL3;SNSY5;CTSA4;SULT3;SULT4;WHRL3;WHRL4
1999;0,9090;1,1400;1,4902;4,1737;1,5112;2,4077;2,5957;3,8398;1,7779;1,0110;3,6421;1,4250;3,6333;4,2512;3,4120;0,3131;0,9620;44,8850;116,0212;1,8121;2,6227;0,0056;19,3264;17,2354;1,6585;14,4564;0,0364;0,0564;3,5981;3,2462;2,5017;0,4825;11,5072;10,3771;16,0358;1,1411;1,1203;10,4686;0,5863;0,5692;0,2848;0,3399;0,0822;1,3199;116,2569;3,1908;2,7347;4,7841;0,7716;0,6608
2000;4,7495;1,1732;1,5703;4,4235;1,8141;3,2063;2,6389;4,2486;1,5982;0,9546;4,1061;1,5534;3,9931;4,4272;3,2399;0,2796;2,6048;45,3907;96,0517;2,1588;3,1289;0,0014;13,4196;12,1524;3,5147;19,7001;0,0260;0,0342;2,4252;2,3636;1,6762;0,1481;9,8984;7,4375;64,7238;1,5986;1,1492;10,0060;1,1605;0,9005;0,4243;0,3592;0,1155;1,3297;120,1280;8,9474;3,2019;2,7642;0,4439;0,3055
2001;4,4367;2,1887;2,1473;4,2208;1,6447;2,8307;2,4851;3,8956;2,1454;1,2919;4,4278;1,7103;4,3161;5,1182;3,3744;0,2986;2,2179;39,2560;108,8824;2,9214;4,4942;0,0039;14,6757;10,0535;2,2802;19,6196;0,0121;0,0109;1,5189;1,1025;1,7394;0,7075;8,7419;7,5540;31,6352;2,1780;1,2419;8,7463;2,5538;1,4965;0,5305;0,4700;0,1391;0,4286;99,3056;7,6606;2,4315;1,7693;0,4862;0,4318
2002;4,0382;2,6449;1,7307;3,6033;1,5275;2,3988;2,2026;3,4565;1,7211;1,1274;3,2684;1,3499;3,1927;5,7775;4,1097;0,1348;2,2470;32,8960;246,5282;3,3749;4,2182;0,0048;15,7781;12,2930;1,2561;21,4951;0,0041;0,0037;0,7152;0,8133;1,6045;0,2068;11,9521;11,7458;16,3820;1,9629;1,0515;6,8294;5,4705;3,1965;0,5909;0,6471;0,1383;0,3864;79,6868;2,2164;1,7604;0,7714;0,5314;0,5870
2003;2,1327;2,6500;1,8597;5,1873;2,2869;3,6722;2,9960;4,5674;2,8923;1,7441;4,4777;1,7639;3,8403;7,8030;5,4407;0,1874;2,8676;46,1715;218,7176;3,6475;5,5399;0,0043;29,7218;20,6395;1,0351;30,1863;0,0127;0,0091;1,6567;0,8206;3,8168;0,2833;17,0664;16,8940;12,6482;2,1086;1,9142;7,8713;3,8851;3,1193;0,6123;0,7241;0,1309;1,0963;90,6453;1,2371;1,5230;0,7538;0,5507;0,5404
2004;3,2644;5,3701;5,2745;4,6271;2,2847;2,9348;2,5977;4,0163;3,3752;2,3028;3,7529;1,8130;3,3566;7,1823;5,0132;0,2458;5,8131;44,4140;204,3682;8,7431;9,4854;0,0590;32,1178;22,4383;2,1873;24,1425;0,0079;0,0049;5,1496;1,6744;5,0674;1,2157;31,1096;34,3237;20,8370;2,9222;2,5299;7,5364;2,7308;1,8930;0,8569;1,0090;0,3533;3,2017;393,1481;0,9761;1,0486;1,1925;0,5072;0,4590
2005;9,5273;7,8623;7,8876;5,8192;2,5914;3,4955;2,7077;5,0359;3,7022;2,3514;3,9768;1,7434;3,5736;7,2880;4,7637;0,1734;3,7750;37,1716;212,3329;9,3859;9,1910;0,0185;30,1085;24,5499;1,5297;26,9547;0,0065;0,0063;6,4635;6,7173;0,8483;4,1102;102,9897;92,1781;18,6088;4,3331;4,0192;14,2614;2,5710;1,1235;0,7395;0,8718;0,3342;3,0445;122,1466;5,0517;0,8792;0,7899;0,3892;0,3342
2006;78,9621;10,7860;10,7819;5,6701;2,5234;3,2934;3,3015;5,2309;5,4142;2,8506;3,9927;2,1468;3,8645;8,8395;5,7673;0,3060;4,7332;66,1321;155,1130;8,7031;10,3176;0,0485;48,4181;43,8658;10,7305;32,6911;0,0078;0,0067;12,3827;11,7251;2,1276;1,4647;157,2070;130,2384;34,1151;7,3015;5,9079;14,5758;2,4009;2,1999;1,4198;1,8008;0,5557;3,3946;107,2737;4,7852;7,6583;8,6714;1,3313;1,0304
2007;106,9708;14,4004;12,2263;9,5679;5,3840;5,2867;5,3116;7,8459;12,8882;3,5846;7,6697;4,0872;6,2243;14,0434;9,0195;0,9435;6,1641;134,6698;286,1717;14,3958;16,4592;0,4279;92,6000;92,1569;8,6023;29,1914;0,0071;0,0064;14,9642;13,5489;2,4305;6,5024;90,3336;82,6753;19,1700;10,4381;6,8979;11,9408;5,9884;4,5280;2,0244;2,1810;0,6572;4,3011;157,4675;2,8138;5,6936;8,5483;2,8926;2,3571
2008;55,6471;9,8211;11,6505;7,6422;4,9690;6,0897;5,1364;7,5657;3,1850;2,0323;8,1420;3,5134;6,5744;9,0086;6,0627;0,3668;4,1451;124,0220;281,5127;9,5996;7,1114;0,0970;42,0215;42,7828;7,8859;12,4463;0,0086;0,0077;8,6342;7,0057;0,6303;3,4269;24,5524;20,5252;4,4121;7,4503;5,0657;6,7387;4,5029;3,5298;0,8906;0,9784;0,4038;1,3944;142,2211;2,4049;4,3023;5,2706;2,5471;2,1330
